Age.num,MDQ PRO (IROMS 17),MDQ PAIN NPRS (IROMS 18),NDI PRO (IROMS 15),NDI PAIN NPRS (IROMS16) ,KOS PRO (IROMS 11),KOS PAIN NPRS (IROMS 12),LEFS PRO (IROMS 13 ),LEFS PAIN NPRS (IROMS 14),DASH PRO (IROMS 19),DASH PAIN NPRS (IROMS 20)
58,0.58031574,1.53E-01,0.76876568,0.12014381,0.81871268,0.5504678,1.07067903,0.27994747,0.77412343,0.30898236
59,0.58275887,1.54E-01,0.77200218,0.12064962,0.82215945,0.55278526,1.07518658,0.28112604,0.77738249,0.31028318
60,0.58516093,1.55E-01,0.77518428,0.12114692,0.82554829,0.55506378,1.07961837,0.28228481,0.78058676,0.31156213
61,0.58752329,1.55E-01,0.77831378,0.121636,0.82888112,0.55730463,1.0839769,0.28342442,0.78373807,0.31281993
62,0.58984723,1.56E-01,0.78139239,0.12211713,0.83215975,0.55950904,1.08826456,0.28454551,0.78683814,0.31405729
63,0.59213399,1.57E-01,0.78442175,0.12259057,0.83538592,0.56167818,1.09248362,0.28564865,0.78988861,0.31527485
64,0.59438473,1.57E-01,0.78740339,0.12305654,0.83856128,0.56381316,1.09663623,0.28673442,0.79289103,0.31647323
65,0.59660058,1.58E-01,0.79033881,0.12351529,0.84168741,0.56591504,1.10072445,0.28780336,0.7958469,0.31765303
66,0.5987826,1.58E-01,0.7932294,0.12396704,0.84476581,0.56798482,1.10475026,0.28885598,0.79875765,0.31881482
67,0.6009318,1.59E-01,0.79607653,0.12441199,0.84779792,0.57002349,1.10871553,0.28989276,0.80162462,0.31995914
68,0.60304916,1.59E-01,0.79888148,0.12485035,0.85078511,0.57203194,1.11262205,0.29091419,0.80444912,0.32108651
69,0.60513561,1.60E-01,0.80164548,0.12528232,0.85372868,0.57401108,1.11647154,0.2919207,0.80723238,0.32219741
70,0.60719204,1.60E-01,0.8043697,0.12570806,0.85662991,0.57596174,1.12026563,0.29291274,0.80997559,0.32329233
71,0.6092193,1.61E-01,0.80705529,0.12612777,0.85948997,0.57788473,1.12400591,0.2938907,0.81267989,0.32437172
72,0.6112182,1.62E-01,0.80970331,0.12654161,0.86231004,0.57978082,1.12769388,0.29485498,0.81534637,0.32543602
73,0.61318954,1.62E-01,0.81231481,0.12694973,0.8650912,0.58165076,1.13133098,0.29580596,0.81797606,0.32648563
74,0.61513405,1.63E-01,0.81489077,0.12735231,0.86783453,0.58349525,1.13491859,0.296744,0.82056998,0.32752096
75,0.61705246,1.63E-01,0.81743216,0.12774948,0.87054103,0.58531499,1.13845804,0.29766945,0.82312908,0.3285424
76,0.61894545,1.64E-01,0.81993988,0.12814139,0.87321169,0.58711063,1.14195061,0.29858265,0.82565428,0.3295503
77,0.62081371,1.64E-01,0.82241483,0.12852818,0.87584743,0.58888279,1.14539752,0.2994839,0.82814647,0.33054503
78,0.62265785,1.65E-01,0.82485784,0.12890998,0.87844916,0.59063208,1.14879996,0.30037353,0.83060651,0.33152692
79,0.62447851,1.65E-01,0.82726972,0.12928691,0.88101775,0.59235909,1.15215906,0.30125182,0.8330352,0.33249631
80,0.62627626,1.66E-01,0.82965127,0.1296591,0.88355402,0.59406438,1.1554759,0.30211907,0.83543335,0.3334535
81,0.62805168,1.66E-01,0.83200323,0.13002667,0.88605879,0.59574848,1.15875153,0.30297554,0.8378017,0.3343988
82,0.62980531,1.66E-01,0.83432633,0.13038973,0.88853283,0.59741191,1.16198697,0.3038215,0.84014099,0.3353325
83,0.63153768,1.67E-01,0.83662128,0.13074838,0.89097687,0.59905519,1.1651832,0.30465721,0.84245193,0.33625489
84,0.63324931,1.67E-01,0.83888873,0.13110275,0.89339165,0.60067878,1.16834114,0.30548291,0.84473519,0.33716622
