lower,upper,DurCat,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
Missing,Missing,Missing,-0.121203213,-0.184025036,-0.296393852,-0.205028431,0.086115409,-0.022618995,0.106115063,0.027508035,0.103267242,0.012114557
0,7,"[0,7]",0,0,0,0,0,0,0,0,0,0
7.01,14,"(7,14]",0.06166639,0.000490023,0.128018165,0.128056683,0.178327802,0.12038747,0.142234977,0.13738231,0.198052165,0.103198038
14.01,30,"(14,30]",-0.009808374,-0.137064946,-0.068947554,0.064142369,0.131161291,-0.058383234,0.16390674,0.08303852,-0.013836616,-0.059558598
30.01,90,"(30,90]",-0.141676689,-0.28946472,-0.113363283,-0.08860127,-0.165826067,-0.31811984,0.271494018,0.026626731,0.031916546,-0.044567782
90.01,108,"(90,108]",-0.324975225,-0.449417692,-0.355887398,-0.345251277,-0.190846938,-0.336775649,0.063193805,-0.081034395,-0.132229122,-0.272966757
108.01,365,"(108,365]",-0.338230515,-0.481452587,-0.32966258,-0.295473444,-0.333358712,-0.511330388,-0.149717903,-0.134610228,-0.234624562,-0.28134286
365.01,Infinity,"(365,Inf]",-0.538914383,-0.602002704,-0.518962758,-0.380383817,-0.298772865,-0.376767588,-0.248784323,-0.221244738,-0.382244557,-0.384947776
