GENDER_DSC,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
Female,0,0,0,0,0,0,0,0,0,0
Male,0.06343384072,0.004737768782,-0.05522220328,-0.08024018126,0.07529543635,0.113298208,0.07423718296,0.09408452846,0.0752885266,0.04790220861
Unknown,0.1215359366,-10.06313822,-9.482491298,-10.83306647,-0.347350928,-0.1412625192,-1.325744373,-0.1137344225,0.7951782062,-0.2623293266
Both,0.1215359366,-10.06313822,-9.482491298,-10.83306647,-0.347350928,-0.1412625192,-1.325744373,-0.1137344225,0.7951782062,-0.2623293266
