Age.num,ODI.prob.mcid,ODI.prob.pain,NECK.prob.mcid,NECK.prob.pain,KNEE.prob.mcid,KNEE.prob.pain,LEFS.prob.mcid,LEFS.prob.pain,DASH.prob.mcid,DASH.prob.pain
82,-0.93189396,0.519822944,0.227352683,0.078746781,-0.622271213,-0.62845565,-1.76167697,-0.427867914,-1.294697404,-0.659515906
83,-0.95245149,0.517740011,0.222004191,0.08138434,-0.663764762,-0.627064738,-1.787393223,-0.425510977,-1.334055489,-0.68159152
84,-0.977635395,0.515129425,0.213809295,0.083603857,-0.712263991,-0.626302304,-1.815366057,-0.423304745,-1.378593782,-0.704931388
85,-1.007697937,0.512022226,0.202613262,0.085429921,-0.768131543,-0.626131379,-1.84569994,-0.421240354,-1.428551818,-0.729461142
86,-1.042891379,0.508449451,0.188261357,0.086887123,-0.83173006,-0.626514995,-1.878499342,-0.419308939,-1.484169132,-0.755106415
87,-1.083467982,0.504442139,0.170598848,0.088000055,-0.903422188,-0.627416182,-1.91386873,-0.417501636,-1.54568526,-0.781792838
88,-1.129680008,0.500031328,0.149471001,0.088793307,-0.983570568,-0.62879797,-1.951912572,-0.415809577,-1.613339739,-0.809446044
89,-1.18177972,0.495248058,0.124723083,0.089291469,-1.072537844,-0.630623391,-1.992735338,-0.4142239,-1.687372103,-0.837991665
90,-1.240019379,0.490123365,0.096200361,0.089519133,-1.17068666,-0.632855474,-2.036441496,-0.412735738,-1.768021889,-0.867355333
91,-1.304651248,0.484688288,0.063748101,0.089500889,-1.27837966,-0.635457251,-2.083135514,-0.411336227,-1.855528633,-0.89746268
92,-1.375927589,0.478973867,0.027211571,0.089261328,-1.395979486,-0.638391752,-2.132921861,-0.410016501,-1.950131869,-0.928239338
93,-1.454100663,0.473011138,-0.013563963,0.088825041,-1.523848783,-0.641622007,-2.185905005,-0.408767696,-2.052071135,-0.959610939
94,-1.539422733,0.466831141,-0.058733235,0.088216618,-1.662350193,-0.645111049,-2.242189414,-0.407580946,-2.161585965,-0.991503116
95,-1.63214606,0.460464914,-0.108450977,0.087460651,-1.81184636,-0.648821906,-2.301879558,-0.406447387,-2.278915895,-1.0238415
96,-1.732522907,0.453943495,-0.162871923,0.08658173,-1.972699928,-0.65271761,-2.365079904,-0.405358152,-2.404300462,-1.056551723
97,-1.840805536,0.447297922,-0.222150806,0.085604446,-2.14527354,-0.656761191,-2.431894921,-0.404304378,-2.537979201,-1.089559418
98,-1.957246209,0.440559235,-0.28644236,0.08455339,-2.32992984,-0.660915681,-2.502429077,-0.4032772,-2.680191648,-1.122790217
99,-2.082097188,0.43375847,-0.355901316,0.083453152,-2.52703147,-0.665144109,-2.576786842,-0.402267751,-2.831177338,-1.156169752
100,-2.215610734,0.426926668,-0.43068241,0.082328323,-2.736941075,-0.669409506,-2.655072682,-0.401267167,-2.991175807,-1.189623654
