age,DASH.prob.mcd,DASH.prob.pain,KNEE.prob.mcd,KNEE.prob.pain,LEFS.prob.mcd,LEFS.prob.pain,ODI.prob.mcd,ODI.prob.pain,NECK.prob.mcd,NECK.prob.pain
53,1.552254269,0.64135822,1.902891318,1.524393038,2.39785119,0.634787522,1.421655702,0.103165091,1.13291013,0.184071959
54,1.559562282,0.644377734,1.911850129,1.53156988,2.409140273,0.637776102,1.428348857,0.103650792,1.138243871,0.18493857
55,1.566736195,0.647341841,1.92064455,1.538615029,2.420222205,0.640709842,1.434919194,0.104127581,1.143479739,0.185789278
56,1.573780841,0.650252538,1.929280504,1.545533232,2.431104451,0.643590719,1.441371141,0.104595778,1.148621262,0.186624658
57,1.580700797,0.653111716,1.937763601,1.552328982,2.441794081,0.646420604,1.447708888,0.105055688,1.15367178,0.187445252
58,1.587500399,0.655921166,1.946099158,1.559006539,2.452297795,0.649201271,1.453936407,0.1055076,1.158634458,0.188251573
59,1.594183764,0.658682589,1.95429222,1.565569945,2.46262195,0.651934404,1.460057468,0.105951786,1.1635123,0.189044111
60,1.600754797,0.661397599,1.962347578,1.572023036,2.472772581,0.654621599,1.466075649,0.106388507,1.168308158,0.189823328
61,1.607217213,0.664067731,1.970269782,1.578369459,2.482755425,0.657264375,1.471994352,0.106818008,1.173024741,0.190589665
62,1.613574545,0.666694445,1.978063165,1.584612684,2.49257594,0.659864178,1.477816811,0.107240526,1.177664629,0.19134354
63,1.619830155,0.669279129,1.985731848,1.590756012,2.502239319,0.662422382,1.483546106,0.107656283,1.182230276,0.192085353
64,1.625987248,0.671823107,1.99327976,1.596802592,2.511750513,0.664940298,1.489185173,0.108065492,1.186724019,0.192815484
65,1.632048878,0.674327643,2.000710644,1.602755422,2.521114241,0.667419175,1.494736809,0.108468357,1.191148089,0.193534294
66,1.63801796,0.67679394,2.008028076,1.608617366,2.530335005,0.669860204,1.500203684,0.108865071,1.195504614,0.194242129
67,1.643897278,0.679223148,2.015235467,1.614391157,2.539417106,0.672264526,1.505588347,0.109255819,1.199795624,0.19493932
68,1.649689492,0.681616367,2.022336078,1.620079407,2.548364653,0.674633226,1.510893234,0.109640778,1.204023061,0.195626182
69,1.655397145,0.683974647,2.029333027,1.625684614,2.557181573,0.676967345,1.516120675,0.110020117,1.208188782,0.196303016
70,1.661022671,0.686298994,2.036229296,1.631209168,2.565871627,0.679267879,1.521272899,0.110393998,1.212294562,0.196970112
71,1.666568399,0.68859037,2.043027743,1.636655357,2.574438414,0.68153578,1.526352038,0.110762575,1.216342103,0.197627744
72,1.672036562,0.690849698,2.049731104,1.642025372,2.582885382,0.683771961,1.531360139,0.111125997,1.220333032,0.198276179
73,1.6774293,0.693077862,2.056342001,1.647321317,2.591215835,0.685977298,1.53629916,0.111484406,1.224268913,0.198915669
74,1.682748665,0.695275709,2.062862952,1.652545205,2.599432946,0.688152628,1.541170981,0.111837939,1.228151242,0.199546459
75,1.687996627,0.697444055,2.06929637,1.657698972,2.607539757,0.690298759,1.545977407,0.112186726,1.231981458,0.200168781
76,1.693175077,0.699583679,2.075644575,1.662784475,2.61553919,0.692416464,1.550720169,0.112530894,1.235760941,0.200782861
77,1.698285833,0.701695335,2.081909795,1.667803499,2.623434052,0.694506485,1.555400933,0.112870562,1.239491018,0.201388913
78,1.703330642,0.703779742,2.088094171,1.672757759,2.631227042,0.696569537,1.560021299,0.113205847,1.243172964,0.201987145
79,1.708311185,0.705837595,2.094199762,1.677648906,2.638920755,0.698606308,1.564582804,0.113536862,1.246808004,0.202577756
80,1.713229077,0.707869563,2.100228552,1.682478528,2.64651769,0.700617458,1.569086931,0.113863712,1.250397319,0.203160937
81,1.718085876,0.709876288,2.106182448,1.687248153,2.65402025,0.702603625,1.573535104,0.114186502,1.253942046,0.203736874
82,1.722883081,0.711858391,2.112063288,1.691959253,2.661430752,0.704565421,1.577928697,0.114505331,1.257443278,0.204305744
83,1.727622137,0.713816467,2.117872844,1.696613248,2.668751427,0.706503436,1.582269033,0.114820296,1.260902069,0.204867719
84,1.732304435,0.715751092,2.123612823,1.701211505,2.675984428,0.708418242,1.586557388,0.115131488,1.264319437,0.205422963
85,1.736931321,0.717662823,2.129284871,1.705755343,2.683131829,0.710310386,1.590794992,0.115438998,1.267696362,0.205971636
86,1.74150409,0.719552193,2.134890577,1.710246036,2.690195633,0.7121804,1.594983032,0.115742911,1.271033789,0.206513891
87,1.746023994,0.72141972,2.140431477,1.714684812,2.697177772,0.714028795,1.599122654,0.11604331,1.274332633,0.207049878
