functional_admit,DASH_functional,DASH_pain,KOS_functional,KOS_pain,LEFS_functional,LEFS_pain,MDQ_functional,MDQ_pain,NDI_functional,NDI_pain
0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0
1,-0.0356983593149651,0.0109532228593943,0.046077393107356,-0.0075798077580638,0.0317989890616173,-0.013044442480168,-0.0261409884606885,0.019242830037219,-0.0231168622085594,0.0262906732316356
2,-0.0713967186299303,0.0219064457187886,0.092154786214712,-0.0151596155161277,0.0635979781232346,-0.026088884960336,-0.052281976921377,0.038485660074438,-0.0462337244171189,0.0525813464632713
3,-0.1070950779448955,0.0328596685781829,0.138232179322068,-0.0227394232741916,0.095396967184852,-0.0391333274405041,-0.0784229653820656,0.057728490111657,-0.0693505866256784,0.0788720196949069
4,-0.1427934372598607,0.0438128914375772,0.184309572429424,-0.0303192310322555,0.1271959562464693,-0.0521777699206721,-0.1045639538427541,0.076971320148876,-0.0924674488342379,0.1051626929265426
5,-0.1784917965748259,0.0547661142969715,0.2303869655367801,-0.0378990387903194,0.1589949453080866,-0.0652222124008402,-0.1307049423034427,0.096214150186095,-0.1155843110427973,0.1314533661581783
6,-0.2141901558897911,0.0657193371563658,0.2764643586441361,-0.0454788465483833,0.190793934369704,-0.0782666548810082,-0.1568459307641312,0.115456980223314,-0.1387011732513568,0.1577440393898139
7,-0.2498885152047563,0.0766725600157601,0.3225417517514921,-0.0530586543064472,0.2225929234313213,-0.0913110973611763,-0.1829869192248197,0.134699810260533,-0.1618180354599163,0.1840347126214496
8,-0.2855868745197215,0.0876257828751544,0.3686191448588481,-0.0606384620645111,0.2543919124929386,-0.1043555398413443,-0.2091279076855083,0.153942640297752,-0.1849348976684758,0.2103253858530853
9,-0.3212852338346866,0.0985790057345487,0.4146965379662042,-0.068218269822575,0.2861909015545559,-0.1173999823215124,-0.2352688961461968,0.173185470334971,-0.2080517598770352,0.2366160590847209
